通し番号,投票区,番号,名称,住所,設置説明
1,1,1,1-1 茨木市立斎場第２駐車場西側金網,大阪府茨木市大住町１１,茨木市立斎場第２駐車場西側金網
2,1,2,1-2 茨木公民館東側水路柵,大阪府茨木市東宮町１,茨木公民館東側水路柵
3,1,3,1-3 茨木小学校西門南側の塀,大阪府茨木市片桐町８,茨木小学校西門南側の塀
4,1,4,1-4 上泉町北児童遊園東側金網,大阪府茨木市上泉町１０,上泉町北児童遊園東側金網
5,1,5,1-5 天理教島上分教会入口南側水路柵,大阪府茨木市宮元町５,天理教島上分教会入口南側水路柵
6,1,6,1-6 田中第２児童遊園北側フェンス,大阪府茨木市田中町１,田中第２児童遊園北側フェンス
7,1,7,1-7 仲辻ビル東側水路柵,大阪府茨木市宮元町７,仲辻ビル東側水路柵
8,1,8,1-8 茨木小学校南東フェンス,大阪府茨木市片桐町８,茨木小学校南東フェンス
9,2,1,2-1 東雲幼稚園南側の鉄柵,大阪府茨木市学園南町１７－３３,東雲幼稚園南側の鉄柵
10,2,2,2-2 日本特殊機械（株）南側歩道フェンス,大阪府茨木市学園南町１６－２４,日本特殊機械（株）南側歩道フェンス
11,2,3,2-3 山科橋東詰堤防下ガードレール,大阪府茨木市新堂一丁目１６,山科橋東詰堤防下ガードレール
12,2,4,2-4 コインランドリー北側水路鉄柵,大阪府茨木市新堂三丁目５－２２,コインランドリー北側水路鉄柵
13,2,5,2-5 新堂児童遊園北側フェンス,大阪府茨木市新堂三丁目９－１０,新堂児童遊園北側フェンス
14,2,6,2-6 松城荘東側水路鉄柵,大阪府茨木市目垣一丁目３－９,松城荘東側水路鉄柵
15,2,7,2-7 目垣バス停(阪急茨木行き)西側ガードレール,大阪府茨木市目垣一丁目１,目垣バス停(阪急茨木行き)西側ガードレール
16,3,1,3-1 丸屋ビルアネックス東側水路鉄柵,大阪府茨木市別院町１－２１,丸屋ビルアネックス東側水路鉄柵
17,3,2,3-2 奥村駐車場南側歩道植栽,大阪府茨木市別院町７,奥村駐車場南側歩道植栽
18,3,3,3-3 大手町月極駐車場南側鉄柵,大阪府茨木市大手町８,大手町月極駐車場南側鉄柵
19,3,4,3-4 主原町児童遊園南側フェンス,大阪府茨木市主原町８,主原町児童遊園南側フェンス
20,3,5,3-5 主原第２児童遊園南側金網,大阪府茨木市主原町７,主原第２児童遊園南側金網
21,3,6,3-6 茨木高校正門東側道路鉄柵,大阪府茨木市新庄町１２,茨木高校正門東側道路鉄柵
22,3,7,3-7 別院町自転車駐車場北側フェンス,大阪府茨木市別院町７,別院町自転車駐車場北側フェンス
23,4,1,4-1 おにクル南側歩道鉄柵,大阪府茨木市駅前三丁目９,おにクル南側歩道鉄柵
24,4,2,4-2 茨木駅前交番南側道路鉄柵,大阪府茨木市駅前一丁目１,茨木駅前交番南側道路鉄柵
25,4,3,4-3 近鉄バス市役所前バス停付近の歩道鉄柵,大阪府茨木市駅前四丁目８,近鉄バス市役所前バス停付近の歩道鉄柵
26,4,4,4-4 養精中学校正門東側植栽,大阪府茨木市駅前四丁目７,養精中学校正門東側植栽
27,4,5,4-5 茨木区検察庁東側水路鉄柵,大阪府茨木市上中条一丁目７,茨木区検察庁東側水路鉄柵
28,4,6,4-6 養精中学校グラウンド西側フェンス,大阪府茨木市駅前四丁目７－６０,養精中学校グラウンド西側フェンス
29,4,7,4-7 マンションコスミオン上中条東側水路鉄柵,大阪府茨木市上中条二丁目３,マンションコスミオン上中条東側水路鉄柵
30,5,1,5-1 ＪＲ茨木西口駐車場西側フェンス,大阪府茨木市西駅前町１,ＪＲ茨木西口駐車場西側フェンス
31,5,2,5-2 りそな銀行北側歩道鉄柵,大阪府茨木市西駅前町６,りそな銀行北側歩道鉄柵
32,5,3,5-3 松下モータース駐車場北側水路鉄柵,大阪府茨木市春日一丁目１２,松下モータース駐車場北側水路鉄柵
33,5,4,5-4 三島府民センター東側植栽,大阪府茨木市中穂積一丁目３-４３,三島府民センター東側植栽
34,5,5,5-5 春日丘高校南側歩道,大阪府茨木市春日二丁目１－２,春日丘高校南側歩道
35,5,6,5-6 中穂積東公園北側金網,大阪府茨木市中穂積一丁目４,中穂積東公園北側金網
36,5,7,5-7 中穂積一丁目児童遊園北側鉄柵,大阪府茨木市中穂積一丁目７,中穂積一丁目児童遊園北側鉄柵
37,5,8,5-8 中穂積南公園南側金網,大阪府茨木市中穂積一丁目１,中穂積南公園南側金網
38,6,1,6-1 春日コミュニティセンター南側フェンス,大阪府茨木市上穂積二丁目１３ｰ３０,春日コミュニティセンター南側フェンス
39,6,2,6-2 春日三丁目児童遊園西側フェンス,大阪府茨木市春日三丁目７,春日三丁目児童遊園西側フェンス
40,6,3,6-3 月極モータープール東側鉄柵,大阪府茨木市春日五丁目１,月極モータープール東側鉄柵
41,6,4,6-4 上穂積二丁目児童遊園東側金網,大阪府茨木市上穂積二丁目７－１,上穂積二丁目児童遊園東側金網
42,6,5,6-5 上穂積公民館北側道路鉄柵,大阪府茨木市上穂積三丁目６,上穂積公民館北側道路鉄柵
43,6,6,6-6 上穂積四丁目児童遊園東側金網,大阪府茨木市上穂積四丁目６,上穂積四丁目児童遊園東側金網
44,6,7,6-7 春日小学校北側の塀,大阪府茨木市上穂東町５－５,春日小学校北側の塀
45,6,8,6-8 春日小学校南側金網,大阪府茨木市上穂東町５－５,春日小学校南側金網
46,7,1,7-1 旧関西電力㈱物流センタ－西側水路鉄柵,大阪府茨木市郡四丁目１７,旧関西電力㈱物流センタ－西側水路鉄柵
47,7,2,7-2 郡山児童遊園南側金網,大阪府茨木市郡山二丁目３,郡山児童遊園南側金網
48,7,3,7-3 郡第２児童遊園西側金網,大阪府茨木市郡三丁目７,郡第２児童遊園西側金網
49,7,4,7-4 郡小学校南側歩道鉄柵,大阪府茨木市郡五丁目２６－２３,郡小学校南側歩道鉄柵
50,7,5,7-5 プリベイル田中南側道路鉄柵,大阪府茨木市郡五丁目２０,プリベイル田中南側道路鉄柵
51,7,6,7-6 郡コミュニティセンター正門北側植栽,大阪府茨木市郡五丁目１２－１１,郡コミュニティセンター正門北側植栽
52,7,7,7-7 新豊川橋東側道路ガードレール,大阪府茨木市下井町１１,新豊川橋東側道路ガードレール
