投票区,番号,住所,備考,名称
22,1,大阪府茨木市鮎川二丁目１３,木下宅東側道路鉄柵,22-1 木下宅東側道路鉄柵
22,2,大阪府茨木市鮎川二丁目５－２３,東小学校正門西側の塀,22-2 東小学校正門西側の塀
22,3,大阪府茨木市鮎川二丁目５－２３,東小学校南西角水路鉄柵,22-3 東小学校南西角水路鉄柵
22,4,大阪府茨木市橋の内一丁目２－２２,西慶寺南側歩道鉄柵,22-4 西慶寺南側歩道鉄柵
22,5,大阪府茨木市鮎川二丁目５－２３,東小学校西側フェンス,22-5 東小学校西側フェンス
22,6,大阪府茨木市橋の内三丁目９,林駐車場北側水路鉄柵,22-6 林駐車場北側水路鉄柵
22,7,大阪府茨木市橋の内三丁目１５－１,第２林モータープール北側水路鉄柵,22-7 第２林モータープール北側水路鉄柵
36,1,大阪府茨木市並木町２,西田モータープール西側歩道鉄柵,36-1 西田モータープール西側歩道鉄柵
36,2,大阪府茨木市玉瀬町６,玉瀬北公園南側金網,36-2 玉瀬北公園南側金網
36,3,大阪府茨木市水尾四丁目７－１６,水尾小学校正門横の塀（フェンス）,36-3 水尾小学校正門横の塀（フェンス）
36,4,大阪府茨木市玉瀬町１－５,岡村宅東側水路鉄柵,36-4 岡村宅東側水路鉄柵
36,5,大阪府茨木市玉瀬町１４,玉瀬南公園西側金網,36-5 玉瀬南公園西側金網
36,6,大阪府茨木市玉瀬町２５,内瀬土地区画整理１号公園東側金網,36-6 内瀬土地区画整理１号公園東側金網
36,7,大阪府茨木市玉瀬町４１,カーサ・アルゴⅡ北西側水路鉄柵,36-7 カーサ・アルゴⅡ北西側水路鉄柵
40,1,大阪府茨木市大池一丁目１２,大池西公園南側植栽,40-1 大池西公園南側植栽
40,2,大阪府茨木市大池一丁目５－８,大池小学校東門の塀,40-2 大池小学校東門の塀
40,3,大阪府茨木市大池二丁目１４,大池公園西側金網,40-3 大池公園西側金網
40,4,大阪府茨木市大池二丁目１７,茶谷宅西側水路鉄柵,40-4 茶谷宅西側水路鉄柵
40,5,大阪府茨木市大池二丁目２９,西岡宅東側道路鉄柵,40-5 西岡宅東側道路鉄柵
40,6,大阪府茨木市園田町４,イオン第１駐車場北側金網,40-6 イオン第１駐車場北側金網
40,7,大阪府茨木市園田町１,牟禮墓地北側歩道植栽,40-7 牟禮墓地北側歩道植栽
40,8,大阪府茨木市大池一丁目５ー８,大池小学校正門西側フェンス,40-8 大池小学校正門西側フェンス
41,1,大阪府茨木市中津町１５,イオン駐輪場南側水路鉄柵,41-1 イオン駐輪場南側水路鉄柵
41,2,大阪府茨木市中津町２２－２５,スギ薬局西側水路鉄柵,41-2 スギ薬局西側水路鉄柵
41,3,大阪府茨木市中津町１０－１５,中津小学校正門横の塀,41-3 中津小学校正門横の塀
41,4,大阪府茨木市寺田町１,サンアベニュー東側水路鉄柵,41-4 サンアベニュー東側水路鉄柵
41,5,大阪府茨木市五十鈴町１,先鉾橋バス停(茨木行き)歩道鉄柵,41-5 先鉾橋バス停(茨木行き)歩道鉄柵
41,6,大阪府茨木市中津町４,イオン第３駐車場北側金網,41-6 イオン第３駐車場北側金網
41,7,大阪府茨木市五十鈴町４－１５,清水宅南側道路鉄柵,41-7 清水宅南側道路鉄柵
47,1,大阪府茨木市白川二丁目７,山根宅北側道路鉄柵,47-1 山根宅北側道路鉄柵
47,2,大阪府茨木市白川一丁目１１,白川西公園東側金網,47-2 白川西公園東側金網
47,3,大阪府茨木市鮎川四丁目２８,シャングリラ鮎川東側水路鉄柵,47-3 シャングリラ鮎川東側水路鉄柵
47,4,大阪府茨木市鮎川三丁目１６,鮎川第一児童遊園西側金網,47-4 鮎川第一児童遊園西側金網
47,5,大阪府茨木市鮎川四丁目２３,松下宅西側水路鉄柵,47-5 松下宅西側水路鉄柵
47,6,大阪府茨木市白川一丁目４,白川小学校正門横の塀,47-6 白川小学校正門横の塀
47,7,大阪府茨木市白川二丁目２４,白川中央公園南側金網,47-7 白川中央公園南側金網
47,8,大阪府茨木市白川三丁目１,白川高層住宅内、京阪バスロータリーのバス停付近（白川３丁目バス停）,47-8 白川高層住宅内、京阪バスロータリーのバス停付近（白川３丁目バス停）
56,1,大阪府茨木市大同町１,笠岡宅東側植栽の鉄柵,56-1 笠岡宅東側植栽の鉄柵
56,2,大阪府茨木市星見町１,アルコバレーノ南側水路鉄柵,56-2 アルコバレーノ南側水路鉄柵
56,3,大阪府茨木市五十鈴町１１－１１,中村宅東側ガ－ドレ－ル,56-3 中村宅東側ガ－ドレ－ル
56,4,大阪府茨木市桑田町１３－２２,中津コミュニティセンタ－南側金網,56-4 中津コミュニティセンタ－南側金網
56,5,大阪府茨木市桑田町２４－２１,シニアプラザいばらき北側水路鉄柵,56-5 シニアプラザいばらき北側水路鉄柵
56,6,大阪府茨木市五十鈴町６,コスモ五十鈴西側歩道鉄柵,56-6 コスモ五十鈴西側歩道鉄柵
56,7,大阪府茨木市星見町４,ルイシャンスⅡ 北側歩道鉄柵,56-7 ルイシャンスⅡ 北側歩道鉄柵
59,1,大阪府茨木市鮎川一丁目７,新鮮や駐車場南側水路鉄柵,59-1 新鮮や駐車場南側水路鉄柵
59,2,大阪府茨木市学園町５,ジオ茨木学園町南側歩道金網,59-2 ジオ茨木学園町南側歩道金網
59,3,大阪府茨木市鮎川一丁目８,鮎川公園西側水路鉄柵,59-3 鮎川公園西側水路鉄柵
59,4,大阪府茨木市鮎川一丁目１１,ジオ茨木学園町２番館東側道路ガードレール,59-4 ジオ茨木学園町２番館東側道路ガードレール
59,5,大阪府茨木市学園町１,浪商幼稚園南側歩道鉄柵,59-5 浪商幼稚園南側歩道鉄柵
59,6,大阪府茨木市鮎川一丁目２０,東コミュニティセンター東側ガードレール,59-6 東コミュニティセンター東側ガードレール
59,7,大阪府茨木市学園町４,立体駐車場北側水路鉄柵,59-7 立体駐車場北側水路鉄柵
