通し番号 投票区 番号 設置場所 設置説明
1 1 1 大住町１１ 茨木市立斎場第２駐車場西側金網
2 1 2 東宮町１ 茨木公民館東側水路柵
3 1 3 片桐町８ 茨木小学校西門南側の塀
4 1 4 上泉町１０ 上泉町北児童遊園東側金網
5 1 5 宮元町５ 天理教島上分教会入口南側水路柵
6 1 6 田中町１ 田中第２児童遊園北側フェンス
7 1 7 宮元町７ 仲辻ビル東側水路柵
8 1 8 片桐町８ 茨木小学校南東フェンス
9 2 1 学園南町１７－３３ 東雲幼稚園南側の鉄柵
10 2 2 学園南町１６－２４ 日本特殊機械（株）南側歩道フェンス
11 2 3 新堂一丁目１６ 山科橋東詰堤防下ガードレール
12 2 4 新堂三丁目５－２２ コインランドリー北側水路鉄柵
13 2 5 新堂三丁目９－１０ 新堂児童遊園北側フェンス
14 2 6 目垣一丁目３－９ 松城荘東側水路鉄柵
15 2 7 目垣一丁目１ 目垣バス停(阪急茨木行き)西側ガードレール
16 3 1 別院町１－２１ 丸屋ビルアネックス東側水路鉄柵
17 3 2 別院町７ 奥村駐車場南側歩道植栽
18 3 3 大手町８ 大手町月極駐車場南側鉄柵
19 3 4 主原町８ 主原町児童遊園南側フェンス
20 3 5 主原町７ 主原第２児童遊園南側金網
21 3 6 新庄町１２ 茨木高校正門東側道路鉄柵
22 3 7 別院町７ 別院町自転車駐車場北側フェンス
23 4 1 駅前三丁目９ おにクル南側歩道鉄柵
24 4 2 駅前一丁目１ 茨木駅前交番南側道路鉄柵
25 4 3 駅前四丁目８ 近鉄バス市役所前バス停付近の歩道鉄柵
26 4 4 駅前四丁目７ 養精中学校正門東側植栽
27 4 5 上中条一丁目７ 茨木区検察庁東側水路鉄柵
28 4 6 駅前四丁目７－６０ 養精中学校グラウンド西側フェンス
29 4 7 上中条二丁目３ マンションコスミオン上中条東側水路鉄柵
30 5 1 西駅前町１ ＪＲ茨木西口駐車場西側フェンス
31 5 2 西駅前町６ りそな銀行北側歩道鉄柵
32 5 3 春日一丁目１２ 松下モータース駐車場北側水路鉄柵
33 5 4 中穂積一丁目３-４３ 三島府民センター東側植栽
34 5 5 春日二丁目１－２ 春日丘高校南側歩道
35 5 6 中穂積一丁目４ 中穂積東公園北側金網
36 5 7 中穂積一丁目７ 中穂積一丁目児童遊園北側鉄柵
37 5 8 中穂積一丁目１ 中穂積南公園南側金網
38 6 1 上穂積二丁目１３ｰ３０ 春日コミュニティセンター南側フェンス
39 6 2 春日三丁目７ 春日三丁目児童遊園西側フェンス
40 6 3 春日五丁目１ 月極モータープール東側鉄柵
41 6 4 上穂積二丁目７－１ 上穂積二丁目児童遊園東側金網
42 6 5 上穂積三丁目６ 上穂積公民館北側道路鉄柵
43 6 6 上穂積四丁目６ 上穂積四丁目児童遊園東側金網
44 6 7 上穂東町５－５ 春日小学校北側の塀
45 6 8 上穂東町５－５ 春日小学校南側金網
46 7 1 郡四丁目１７ 旧関西電力㈱物流センタ－西側水路鉄柵
47 7 2 郡山二丁目３ 郡山児童遊園南側金網
48 7 3 郡三丁目７ 郡第２児童遊園西側金網
49 7 4 郡五丁目２６－２３ 郡小学校南側歩道鉄柵
50 7 5 郡五丁目２０ プリベイル田中南側道路鉄柵
51 7 6 郡五丁目１２－１１ 郡コミュニティセンター正門北側植栽
52 7 7 下井町１１ 新豊川橋東側道路ガードレール
53 8 1 北春日丘一丁目６ 長池西側道路ガードレール
54 8 2 見付山二丁目５－４ 西中学校西門南側の塀
55 8 3 北春日丘一丁目４ 浪速コーポ前道路鉄柵
56 8 4 北春日丘一丁目６ 増田宅東側水路鉄柵
57 8 5 見付山二丁目１ ダイエー上穂積店西側歩道鉄柵
58 8 6 見付山一丁目１ 茨木レックスマンションＡ棟西側水路鉄柵
59 8 7 見付山二丁目５－４ 西中学校正門西側の塀
60 9 1 南春日丘六丁目７ 川端宅南側水路鉄柵
61 9 2 南春日丘二丁目２ 春光園バス停歩道鉄柵
62 9 3 南春日丘二丁目４ 松沢池児童遊園前水路鉄柵
63 9 4 南春日丘五丁目１ 沢池多世代交流センター東側道路鉄柵
64 9 5 南春日丘二丁目９ 久保モータープール東側歩道鉄柵
65 9 6 南春日丘四丁目１ 春日丘公園南側水路鉄柵
66 9 7 南春日丘六丁目５ 月極駐車場南側水路鉄柵
67 9 8 南春日丘七丁目３ 南春日丘七丁目第二児童遊園南側金網
68 10 1 下穂積三丁目５ 菜洗池西側歩道鉄柵
69 10 2 中穂積三丁目３－４３ 春日丘小学校南側植栽
70 10 3 中穂積三丁目３－４３ 春日丘小学校北門前歩道鉄柵
71 10 4 中穂積三丁目８ 中穂積児童遊園東側金網
72 10 5 中穂積三丁目１５ 第二田中マンション南側水路鉄柵
73 10 6 中穂積三丁目４ 春日丘橋西側水路鉄柵
74 10 7 南春日丘一丁目１９－６ 西陵中学校正門横フェンス
75 10 8 紫明園１ 紫明園北第二児童遊園南側フェンス
76 11 1 庄一丁目１ 千歳橋北西堤防ガードレール
77 11 2 庄二丁目２６－５ 庄栄小学校南側水路鉄柵
78 11 3 庄一丁目９ 庄第４児童遊園西側フェンス
79 11 4 庄二丁目２５－２７ 庄栄小学校正門北側水路鉄柵
80 11 5 庄一丁目２７－１ エスポワールセゾン東側道路鉄柵
81 11 6 橋の内二丁目７ オ－クタウン９号棟西側水路鉄柵
82 11 7 橋の内二丁目７ オ－クタウン19号棟北側水路鉄柵
83 11 8 庄一丁目２８ 庄一丁目児童遊園南側道路鉄柵
84 12 1 三島町３ 三島公園北側道路ガードレール
85 12 2 三島丘一丁目４ 疣水神社西側道路鉄柵
86 12 3 三島丘二丁目３０ 三島丘公園東側入口フェンス
87 12 4 三島町２ 三島南公園西側柵
88 12 5 三島丘二丁目２ 府営高層住宅北側フェンス
89 12 6 三島丘二丁目５ 三島丘第３児童遊園北西フェンス
90 12 7 三島丘二丁目１１ 三島丘二丁目北児童遊園東側水路鉄柵
91 13 1 春日四丁目１ 倍賀神社南側石塀
92 13 2 西田中町３ 農園リヴェール南側道路鉄柵
93 13 3 西田中町１ 春日保育所南側ブロック塀
94 13 4 西田中町６ 西田中ヒルズ西側水路鉄柵
95 13 5 畑田町２ 畑田コミュニティセンター南側水路鉄柵
96 13 6 畑田町１４ 奥野宅東側道路鉄柵
97 13 7 五日市二丁目３ 巡礼橋東詰道路東側ガードレール
98 14 1 耳原一丁目４ 耳原一丁目児童遊園東側金網
99 14 2 耳原二丁目２０－５５ 耳原小学校南東角の塀
100 14 3 耳原二丁目２０－５５ 耳原小学校北側の塀
101 14 4 上野町３ パレットマンション南側水路鉄柵
102 14 5 耳原三丁目１２ 幣久良橋東詰北側歩道鉄柵
103 14 6 十日市町６－２２ Page One東側水路鉄柵
104 14 7 上野町１２ 柳川宅西側堤防ガ-ドﾚ-ﾙ
105 14 8 南耳原二丁目１４ （株）国際興業大阪北摂営業所南側水路鉄柵
106 15 1 東太田三丁目５ 東太田三丁目第２児童遊園東側水路鉄柵
107 15 2 太田東芝町１ 太田東芝町児童遊園北側金網
108 15 3 東太田四丁目７ 東太田東公園西側フェンス
