投票区,番号,住所,備考,名称
1,1,大阪府箕面市上止々呂美４４８番地先,上の所バス停,No.1 上の所バス停
1,2,大阪府箕面市上止々呂美１３４番地１先,国道 東側,No.2 国道 東側
1,3,大阪府箕面市上止々呂美６番地１先,中止々呂美バス停 北側,No.3 中止々呂美バス停 北側
1,4,大阪府箕面市下止々呂美９６２番地,止々呂美ふるさと自然館 東側,No.4 止々呂美ふるさと自然館 東側
1,5,大阪府箕面市下止々呂美７９６番地先,下止々呂美バス停,No.5 下止々呂美バス停
1,6,大阪府箕面市下止々呂美２６４番地１先,止々呂美南バス停（大正橋西側）,No.6 止々呂美南バス停（大正橋西側）
1,7,大阪府箕面市下止々呂美４４９番地１先,下止々呂美自治会館進入口 北側,No.7 下止々呂美自治会館進入口 北側
1,8,大阪府箕面市下止々呂美５４３番地先,国道４２３号線沿いコンビニ 東側,No.8 国道４２３号線沿いコンビニ 東側
2,1,大阪府箕面市森町南２丁目３番地先,ゆりの木公園南側,No.1 ゆりの木公園南側
2,2,大阪府箕面市森町中１丁目１番先,止々呂美山の手線交差点（地区センター側）,No.2 止々呂美山の手線交差点（地区センター側）
2,3,大阪府箕面市森町中２丁目２０番内,そよかぜ公園 東側,No.3 そよかぜ公園 東側
2,4,大阪府箕面市森町中３丁目１３番内,森の丘公園 西側,No.4 森の丘公園 西側
2,5,大阪府箕面市森町中１丁目１３番地先,いわや橋東側,No.5 いわや橋東側
2,6,大阪府箕面市森町北２丁目１３番地先,森町自治会館 西側,No.6 森町自治会館 西側
2,7,大阪府箕面市森町中１丁目２番地先,森町駐車場南側向かい道路柵,No.7 森町駐車場南側向かい道路柵
3,1,大阪府箕面市瀬川５丁目１１番６号,竹内様宅西側ガードレール,No.1 竹内様宅西側ガードレール
3,2,大阪府箕面市瀬川４丁目３番地,ガーデンハイツＭＡＳＡＫＩ南側ガードレール,No.2 ガーデンハイツＭＡＳＡＫＩ南側ガードレール
3,3,大阪府箕面市瀬川４丁目１９番内,瀬川南公園 南側,No.3 瀬川南公園 南側
3,4,大阪府箕面市瀬川４丁目１番２８号先,市立聖苑対面,No.4 市立聖苑対面
3,5,大阪府箕面市瀬川５丁目１番先,阪急オアシス箕面店 東側,No.5 阪急オアシス箕面店 東側
3,6,大阪府箕面市瀬川５丁目１６番内,瀬川西公園 西側,No.6 瀬川西公園 西側
3,7,大阪府箕面市瀬川３丁目４番９号,ヤマトミシン製造(株)配送センター 南側,No.7 ヤマトミシン製造(株)配送センター 南側
4,1,大阪府箕面市瀬川１丁目２３番２２号先,植木様宅西側,No.1 植木様宅西側
4,2,大阪府箕面市瀬川１丁目５番先,玉川緑地 南側,No.2 玉川緑地 南側
4,3,大阪府箕面市瀬川２丁目２１番内,瀬川緑地 北側,No.3 瀬川緑地 北側
4,4,大阪府箕面市瀬川２丁目３番先,阪急電車箕面線踏切 北側,No.4 阪急電車箕面線踏切 北側
4,5,大阪府箕面市瀬川２丁目５番８号先,畝狭様宅前向かい,No.5 畝狭様宅前向かい
4,6,大阪府箕面市瀬川１丁目９番先,今井橋 南側,No.6 今井橋 南側
4,7,大阪府箕面市瀬川３丁目２番１号,西南小学校 南側,No.7 西南小学校 南側
5,1,大阪府箕面市半町４丁目２番先,半町４丁目交差点南ガードレール,No.1 半町４丁目交差点南ガードレール
5,2,大阪府箕面市半町４丁目５番７号,大西様宅前ガードレール,No.2 大西様宅前ガードレール
5,3,大阪府箕面市半町４丁目６番３９号,西南図書館東側柵,No.3 西南図書館東側柵
5,4,大阪府箕面市半町４丁目３番４４号,近畿セイビ㈱前,No.4 近畿セイビ㈱前
5,5,大阪府箕面市半町４丁目１２番内,半町南公園西側 入口階段奥,No.5 半町南公園西側 入口階段奥
5,6,大阪府箕面市半町４丁目８番４号,エリータ半町前,No.6 エリータ半町前
5,7,大阪府箕面市半町４丁目２０番５３号,霊園 南側,No.7 霊園 南側
6,1,大阪府箕面市半町３丁目５番内,日商岩井箕面ハイツ 南西側,No.1 日商岩井箕面ハイツ 南西側
6,2,大阪府箕面市半町１丁目１番先,阿比太橋 東側,No.2 阿比太橋 東側
6,3,大阪府箕面市半町１丁目４番先,箕面川フェンス,No.3 箕面川フェンス
6,4,大阪府箕面市半町２丁目１４番内,半町北公園 南側,No.4 半町北公園 南側
6,5,大阪府箕面市半町３丁目５番内,日商岩井箕面ハイツB棟 東側,No.5 日商岩井箕面ハイツB棟 東側
6,6,大阪府箕面市半町３丁目１番内,桜井駅 南側,No.6 桜井駅 南側
6,7,大阪府箕面市半町３丁目１３番先,沢田マンション 北側,No.7 沢田マンション 北側
7,1,大阪府箕面市新稲６丁目２１番内,新稲西公園 西側,No.1 新稲西公園 西側
7,2,大阪府箕面市新稲７丁目６番内,奥村様駐車場 東側,No.2 奥村様駐車場 東側
7,3,大阪府箕面市桜ヶ丘３丁目８番内,桜ヶ丘変電所 北側,No.3 桜ヶ丘変電所 北側
7,4,大阪府箕面市桜ヶ丘４丁目１９番内,新桜ヶ丘児童遊園 東側,No.4 新桜ヶ丘児童遊園 東側
7,5,大阪府箕面市桜ヶ丘４丁目１９番３号,桜ヶ丘人権文化センター前道路柵,No.5 桜ヶ丘人権文化センター前道路柵
7,6,大阪府箕面市桜ヶ丘４丁目１６番内,止々呂渕公園南側ガードレール,No.6 止々呂渕公園南側ガードレール
7,7,大阪府箕面市桜ヶ丘４丁目５番５号,西側緑地,No.7 西側緑地
8,1,大阪府箕面市桜井１丁目１番１５号,南小コミセン桜のまちの家 西側,No.1 南小コミセン桜のまちの家 西側
8,2,大阪府箕面市桜井２丁目２番内,桜井駅 北側,No.2 桜井駅 北側
8,3,大阪府箕面市桜井２丁目９番内,踏切南 東側,No.3 踏切南 東側
