投票区,番号,住所,備考,名称
101,1,大阪府吹田市泉町１丁目３－４０,吹田市役所前,
101,2,大阪府吹田市泉町１丁目３－４０,吹田市役所東玄関前,
101,3,大阪府吹田市出口町１９,吹田市保健所下空地東面フェンス,
101,4,大阪府吹田市泉町２丁目１０,空地西面（テニスコート横）,
101,5,大阪府吹田市泉町２丁目２６,いずみ南公園東面,
101,6,大阪府吹田市泉町５丁目１３の前,阪急電車フェンス,
101,7,大阪府吹田市西の庄町１０－１,泉殿宮西面,
102,1,大阪府吹田市泉町３丁目１５－１８,吹田第二小学校南面,
102,2,大阪府吹田市泉町４丁目４１番１０号,西吹田幼稚園東面,
102,3,大阪府吹田市金田町２０,金田はと笛遊園,
102,4,大阪府吹田市穂波町８,穂波公園北面,
102,5,大阪府吹田市穂波町１１－６,(株)きんでん北摂営業所西面,
102,6,大阪府吹田市穂波町１５－３０,南保育園東面,
102,7,大阪府吹田市穂波町１６－１,第六中学校西面,
102,8,大阪府吹田市穂波町１６－１,第六中学校北面,
103,1,大阪府吹田市南金田１丁目１２,南吹田公園東面,
103,2,大阪府吹田市南金田１丁目１２,南吹田公園西面,
103,3,大阪府吹田市南吹田１丁目９－２１,上新田公園植栽,
103,4,大阪府吹田市南金田２丁目９,南金田公園西面,
103,5,大阪府吹田市南吹田２丁目１７,（株）プロテリアル金属厚生センター西面,
103,6,大阪府吹田市南吹田３丁目３－６０,水道部庁舎南面,
103,7,大阪府吹田市南吹田５丁目５,下新田公園南面,
103,8,大阪府吹田市南吹田５丁目１２－１,吹田南小学校西面,
103,9,大阪府吹田市南吹田５丁目５,下新田公園北面,
