投票区,番号,住所,備考,名称
156,1,大阪府吹田市千里山松が丘３,トラちゃん遊園前鉄柵,156-1 トラちゃん遊園前鉄柵
156,2,大阪府吹田市千里山松が丘１５,松が丘第三公園南東面,156-2 松が丘第三公園南東面
156,3,大阪府吹田市千里山高塚６,高塚南遊園北面,156-3 高塚南遊園北面
156,4,大阪府吹田市千里山虹が丘２,公団虹２棟北側,156-4 公団虹２棟北側
156,5,大阪府吹田市千里山月が丘２,市営千里山住宅３棟北東面,156-5 市営千里山住宅３棟北東面
156,6,大阪府吹田市千里山東４丁目１３,千里山東にちご公園北西面,156-6 千里山東にちご公園北西面
156,7,大阪府吹田市千里山東２丁目５,千里山東公園北面,156-7 千里山東公園北面
156,8,大阪府吹田市千里山松が丘２５－１,千里第二小学校正門横,156-8 千里第二小学校正門横
156,9,大阪府吹田市千里山霧が丘２２,千里山コミュニティセンター横ガードレール,156-9 千里山コミュニティセンター横ガードレール
156,10,大阪府吹田市千里山星が丘４,プラウド千里山前歩道鉄柵,156-10 プラウド千里山前歩道鉄柵
