投票区,番号,住所,備考,名称
161,1,大阪府吹田市佐竹台１丁目３,さつき公園南面,161-1 さつき公園南面
161,2,大阪府吹田市佐竹台２丁目４,Ｂ１５棟西面,161-2 Ｂ１５棟西面
161,3,大阪府吹田市佐竹台３丁目４,佐竹公園南面,161-3 佐竹公園南面
161,4,大阪府吹田市佐竹台３丁目４,佐竹公園東面,161-4 佐竹公園東面
161,5,大阪府吹田市佐竹台４丁目１２－１,佐竹台小学校北面,161-5 佐竹台小学校北面
161,6,大阪府吹田市佐竹台５丁目１,Ｂ３１棟西面,161-6 Ｂ３１棟西面
161,7,大阪府吹田市佐竹台５丁目４,植樹帯（佐竹台５丁目バス停横）,161-7 植樹帯（佐竹台５丁目バス停横）
161,8,大阪府吹田市佐竹台６丁目９,ゆりのき公園西面,161-8 ゆりのき公園西面
162,1,大阪府吹田市高野台１丁目１,Ｃ１棟南面,162-1 Ｃ１棟南面
162,2,大阪府吹田市高野台１丁目１,Ｃ３棟北面,162-2 Ｃ３棟北面
162,3,大阪府吹田市高野台２丁目１,歩道鉄柵,162-3 歩道鉄柵
162,4,大阪府吹田市高野台２丁目１６－１,高野台小学校南面,162-4 高野台小学校南面
162,5,大阪府吹田市高野台２丁目１６－１,高野台小学校西面,162-5 高野台小学校西面
162,6,大阪府吹田市高野台３丁目９－５の前,千里第４緑地南面,162-6 千里第４緑地南面
162,7,大阪府吹田市高野台４丁目５,歩道鉄柵,162-7 歩道鉄柵
162,8,大阪府吹田市高野台５丁目２－１の前,千里第４緑地北面,162-8 千里第４緑地北面
163,1,大阪府吹田市津雲台１丁目３,千里南公園東面,163-1 千里南公園東面
163,2,大阪府吹田市津雲台１丁目１,南千里駅２階改札横植込み,163-2 南千里駅２階改札横植込み
163,3,大阪府吹田市津雲台２丁目２,Ｃ４８棟東面,163-3 Ｃ４８棟東面
163,4,大阪府吹田市津雲台３丁目１３,津雲公園西面,163-4 津雲公園西面
163,5,大阪府吹田市津雲台４丁目７,津雲台小学校北面,163-5 津雲台小学校北面
163,6,大阪府吹田市津雲台５丁目１９,デュー阪急山田駐車場東面,163-6 デュー阪急山田駐車場東面
163,7,大阪府吹田市津雲台６丁目１０の前,植樹帯（津雲外周線横）,163-7 植樹帯（津雲外周線横）
163,8,大阪府吹田市津雲台７丁目３,阪急バス(株)千里営業所,163-8 阪急バス(株)千里営業所
163,9,大阪府吹田市津雲台１丁目２－１,千里ニュータウンプラザ２階入口前,163-9 千里ニュータウンプラザ２階入口前
164,1,大阪府吹田市桃山台１丁目１,Ｃ１棟東面,164-1 Ｃ１棟東面
164,2,大阪府吹田市桃山台１丁目１,グランファースト千里桃山台東側府道沿い,164-2 グランファースト千里桃山台東側府道沿い
164,3,大阪府吹田市桃山台１丁目２,府営桃山台住宅 にれのき橋南端 周辺,164-3 府営桃山台住宅 にれのき橋南端 周辺
164,4,大阪府吹田市桃山台１丁目５－１,桃山台小学校南面,164-4 桃山台小学校南面
164,5,大阪府吹田市桃山台２丁目９－１０,桃山公園東面（春日大池東面）,164-5 桃山公園東面（春日大池東面）
164,6,大阪府吹田市桃山台２丁目４,もものき公園西面,164-6 もものき公園西面
164,7,大阪府吹田市桃山台３丁目１２と１５の境,千里第７緑地北面,164-7 千里第７緑地北面
164,8,大阪府吹田市桃山台５丁目１,千里第８緑地北面,164-8 千里第８緑地北面
165,1,大阪府吹田市竹見台１丁目１,Ｃ１０１棟東面,165-1 Ｃ１０１棟東面
165,2,大阪府吹田市竹見台１丁目１,Ｃ１９棟東面,165-2 Ｃ１９棟東面
165,3,大阪府吹田市竹見台１丁目３－１,竹見台中学校(テニスコート横),165-3 竹見台中学校(テニスコート横)
165,4,大阪府吹田市竹見台２丁目１,Ｃ８棟北西面,165-4 Ｃ８棟北西面
165,5,大阪府吹田市竹見台３丁目３－１,千里たけみ小学校北面,165-5 千里たけみ小学校北面
165,6,大阪府吹田市竹見台３丁目５,しいのき公園南面,165-6 しいのき公園南面
165,7,大阪府吹田市竹見台４丁目２－５,竹見公園北面,165-7 竹見公園北面
