投票区,番号,住所,備考,名称
1,1,大阪府大阪市西淀川区柏里2丁目13番33号,柏里小学校正門横,1-1 柏里小学校正門横
1,2,大阪府大阪市西淀川区柏里3丁目1番,市営柏里第2住宅8号館北側,1-2 市営柏里第2住宅8号館北側
1,3,大阪府大阪市西淀川区柏里3丁目17番,市営柏里住宅1号棟西側,1-3 市営柏里住宅1号棟西側
1,4,大阪府大阪市西淀川区花川2丁目3番,花川西公園西側,1-4 花川西公園西側
1,5,大阪府大阪市西淀川区柏里1丁目9番,花川公園北角,1-5 花川公園北角
2,1,大阪府大阪市西淀川区野里2丁目21番13号,野里小学校通用門横,2-1 野里小学校通用門横
2,2,大阪府大阪市西淀川区野里3丁目3番15号,淀商業高等学校南東側,2-2 淀商業高等学校南東側
2,3,大阪府大阪市西淀川区野里3丁目3番15号,淀商業高等学校南西側,2-3 淀商業高等学校南西側
2,4,大阪府大阪市西淀川区野里1丁目9番,野里公園北側,2-4 野里公園北側
2,5,大阪府大阪市西淀川区野里2丁目10番,野里西公園南側,2-5 野里西公園南側
3,1,大阪府大阪市西淀川区歌島2丁目5番18号,歌島小学校通用門横,3-1 歌島小学校通用門横
3,2,大阪府大阪市西淀川区歌島3丁目7番,北之町公園南側,3-2 北之町公園南側
3,3,大阪府大阪市西淀川区歌島4丁目8番1号,市営歌島北住宅1号館南側,3-3 市営歌島北住宅1号館南側
3,4,大阪府大阪市西淀川区歌島1丁目20番,歌島三角公園,3-4 歌島三角公園
3,5,大阪府大阪市西淀川区歌島4丁目4番,市営歌島住宅1号棟南側,3-5 市営歌島住宅1号棟南側
4,1,大阪府大阪市西淀川区御幣島1丁目2番10号,区役所西側,4-1 区役所西側
4,2,大阪府大阪市西淀川区御幣島1丁目9番4号,御幣島二丁目バス停前,4-2 御幣島二丁目バス停前
4,3,大阪府大阪市西淀川区御幣島1丁目5番,大野川緑隂道路鉄柵,4-3 大野川緑隂道路鉄柵
4,4,大阪府大阪市西淀川区千舟1丁目4番45号,大阪日野自動車（株）北側,4-4 大阪日野自動車（株）北側
4,5,大阪府大阪市西淀川区千舟2丁目8番,千舟公園南西側,4-5 千舟公園南西側
4,6,大阪府大阪市西淀川区千舟1丁目2番,大野川綠陰道路鉄柵,4-6 大野川綠陰道路鉄柵
5,1,大阪府大阪市西淀川区御幣島6丁目5番25号,香簑小学校正門横,5-1 香簑小学校正門横
5,2,大阪府大阪市西淀川区御幣島6丁目5番25号,香簑小学校東側 通用門横,5-2 香簑小学校東側 通用門横
5,3,大阪府大阪市西淀川区御幣島3丁目5番5号,御幣島小学校西側,5-3 御幣島小学校西側
5,4,大阪府大阪市西淀川区竹島2丁目2番,竹島南公園南側,5-4 竹島南公園南側
5,5,大阪府大阪市西淀川区御幣島6丁目8番,市営御幣島住宅5号棟東側,5-5 市営御幣島住宅5号棟東側
5,6,大阪府大阪市西淀川区御幣島3丁目7番,御幣島東公園北側,5-6 御幣島東公園北側
5,7,大阪府大阪市西淀川区竹島3丁目7番,竹島公園東側,5-7 竹島公園東側
6,1,大阪府大阪市西淀川区佃1丁目21番12号,佃小学校正門横,6-1 佃小学校正門横
6,2,大阪府大阪市西淀川区佃1丁目21番12号,佃小学校北門横,6-2 佃小学校北門横
6,3,大阪府大阪市西淀川区佃2丁目6番,新佃公園北西側,6-3 新佃公園北西側
6,4,大阪府大阪市西淀川区佃2丁目6番,新佃公園南東側,6-4 新佃公園南東側
